Firm,Region,Propery and construction,Social housing,Child law,Court of protection,Education,Debt recovery,Planning and environmenty,Licensing,Pensions,Litigation/dispute resolution,Intellectual property, Employment,Healthcare,PrimaryCare
Acuity Legal Limited,NE,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,NE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,NE,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,NE,x,,,,,,x,,,x,x,x,,
Birketts LLP,NE,,,,,,,,,,,,,,
Blake Morgan LLP,NE,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,NE,,,,,,,,,,,,,,
Browne Jacobson LLP,NE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,NE,,,,,,,,,,,,,,
Capsticks Solicitors LLP,NE,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,NE,,,,,,,,,,,,x,,
Cleveland Scott York LLP,NE,,,,,,,,,,,x,,,
Clyde & Co LLP,NE,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,NE,x,,,,,,x,,,,,,,
Dolmans Solicitors,NE,,,,,,,,,,,,,,
EMW Law LLP,NE,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),NE,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,NE,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,NE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,NE,,,,,,,,,,,,,,
Hempsons,NE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,NE,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,NE,,,,,,,,,,x,,,,
Hugh James,NE,x,,,,,x,x,x,,x,x,,,
Judge and Priestley LLP,NE,,,,,,x,,,,,,,,
Kennedys Law LLP,NE,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,NE,,,,,,,,,,x,,,,
Kingsley Napley LLP,NE,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,NE,,,,,,,,,,,,,,
Michelmores LLP,NE,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,NE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,NE,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,NE,,,,,,,,,,,,,,
Muckle LLP,NE,x,x,,,x,x,,,,x,x,x,,
Plexus Law,NE,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,NE,,,,,,x,,,,x,x,x,,
Stephenson Harwood LLP,NE,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,NE,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,NE,,,,,,,,,,,,,,
Trowers & Hamlins LLP,NE,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,NE,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,NE,,,,,,,,,,,,,,
Acuity Legal Limited,NW,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,NW,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,NW,x,x,,x,x,x,x,x,,x,x,x,,
Bircham Dyson Bell LLP,NW,x,,,,,,x,,,x,x,x,,
Birketts LLP,NW,,,,,,,,,,,,,,
Blake Morgan LLP,NW,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,NW,,,,,,,,,,,,,,
Browne Jacobson LLP,NW,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,NW,,,,,,,,,,,,,,
Capsticks Solicitors LLP,NW,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,NW,,,,,,,,,,,,x,,
Cleveland Scott York LLP,NW,,,,,,,,,,,x,,,
Clyde & Co LLP,NW,x,,,x,,,x,x,,x,,x,x,x
Davitt Jones Bould Ltd,NW,x,,,,,,x,,,,,,,
Dolmans Solicitors,NW,,,,,,,,,,,,,,
EMW Law LLP,NW,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),NW,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,NW,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,NW,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,NW,,,,,,,,,,,,,,
Hempsons,NW,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,NW,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,NW,,,,,,,,,,x,,,,
Hugh James,NW,x,,,,,x,x,x,,x,x,,,
Judge and Priestley LLP,NW,,,,,,x,,,,,,,,
Kennedys Law LLP,NW,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,NW,,,,,,,,,,x,,,,
Kingsley Napley LLP,NW,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,NW,,,,,,,,,,,,,,
Michelmores LLP,NW,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,NW,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,NW,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,NW,,,,,,,,,,,,,,
Muckle LLP,NW,x,x,,,x,x,,,,x,x,x,,
Plexus Law,NW,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,NW,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,NW,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,NW,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,NW,,,,,,x,,,,x,,,,
Trowers & Hamlins LLP,NW,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,NW,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,NW,,,,,,,,,,,,,,
Acuity Legal Limited,YH,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,YH,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,YH,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,YH,x,,,,,,x,,,x,x,x,,
Birketts LLP,YH,,,,,,,,,,,,,,
Blake Morgan LLP,YH,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,YH,,,,,,,,,,,,,,
Browne Jacobson LLP,YH,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,YH,,,,,,,,,,,,,,
Capsticks Solicitors LLP,YH,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,YH,,,,,,,,,,,,x,,
Cleveland Scott York LLP,YH,,,,,,,,,,,x,,,
Clyde & Co LLP,YH,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,YH,x,,,,,,x,,,,,,,
Dolmans Solicitors,YH,,,,,,,,,,,,,,
EMW Law LLP,YH,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),YH,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,YH,x,x,x,,x,x,,x,,x,x,x,,
Freeths LLP,YH,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,YH,,,,,,,,,,,,,,
Hempsons,YH,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,YH,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,YH,,,,,,,,,,x,,,,
Hugh James,YH,x,,,,,x,x,x,,x,x,,,
Judge and Priestley LLP,YH,,,,,,x,,,,,,,,
Kennedys Law LLP,YH,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,YH,,,,,,,,,,x,,,,
Kingsley Napley LLP,YH,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,YH,,,,,,,,,,,,,,
Michelmores LLP,YH,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,YH,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,YH,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,YH,,,,,,,,,,,,,,
Muckle LLP,YH,x,x,,,x,x,,,,x,x,x,,
Plexus Law,YH,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,YH,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,YH,,,,,,,,,,,,,,
Stephensons Solicitors LLP,YH,,,,,,,,,,,,,,
The Spring Advisory Group Limited t/a Spring Law,YH,,,,,,,,,,,,,,
Trowers & Hamlins LLP,YH,,,,,,,,,,,,,,
Veale Wasbrough Vizards LLP,YH,,,,,,,,,,,,,,
WH LAWRENCE LIMITED,YH,,,,,,,,,,,,,,
Acuity Legal Limited,EM,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,EM,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,EM,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,EM,x,,,,,,x,,,x,x,x,,
Birketts LLP,EM,x,x,,,x,x,x,x,,x,x,x,,
Blake Morgan LLP,EM,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,EM,,,,,,,,,,,,,,
Browne Jacobson LLP,EM,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,EM,,,,,,,,,,,,,,
Capsticks Solicitors LLP,EM,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,EM,,,,,,,,,,,,x,,
Cleveland Scott York LLP,EM,,,,,,,,,,,x,,,
Clyde & Co LLP,EM,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,EM,x,,,,,,x,,,,,,,
Dolmans Solicitors,EM,,,,,,x,,,,x,,,,
EMW Law LLP,EM,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),EM,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,EM,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,EM,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,EM,,,,,,,,,,,,,,
Hempsons,EM,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,EM,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,EM,,,,,,,,,,x,,,,
Hugh James,EM,x,,,,,x,x,x,,x,x,,,
Judge and Priestley LLP,EM,,,,,,x,,,,,,,,
Kennedys Law LLP,EM,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,EM,,,,,,,,,,x,,,,
Kingsley Napley LLP,EM,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,EM,,,,,,,,,,,,,,
Michelmores LLP,EM,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,EM,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,EM,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,EM,,,,,,,,,,,,,,
Muckle LLP,EM,x,x,,,x,x,,,,x,x,x,,
Plexus Law,EM,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,EM,x,x,,,,x,x,x,,x,x,x,x,
Stephenson Harwood LLP,EM,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,EM,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,EM,,,,,,,,,,,,,,
Trowers & Hamlins LLP,EM,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,EM,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,EM,x,x,,,,x,,,,x,,,,
Acuity Legal Limited,WM,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,WM,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,WM,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,WM,x,,,,,,x,,,,,,,
Birketts LLP,WM,,,,,,,,,,,,,,
Blake Morgan LLP,WM,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,WM,,,,,,,,,,,,,,
Browne Jacobson LLP,WM,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,WM,,,,,,,,,,,,,,
Capsticks Solicitors LLP,WM,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,WM,,,,,,,,,,,,x,,
Cleveland Scott York LLP,WM,,,,,,,,,,,x,,,
Clyde & Co LLP,WM,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,WM,x,,,,,,x,,,,,,,
Dolmans Solicitors,WM,,,,,,x,,,,x,,,,
EMW Law LLP,WM,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),WM,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,WM,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,WM,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,WM,,,,,,,,,,,,,,
Hempsons,WM,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,WM,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,WM,,,,,,,,,,x,,,,
Hugh James,WM,x,,,,,x,x,x,x,x,x,x,,
Judge and Priestley LLP,WM,,,,,,x,,,,,,,,
Kennedys Law LLP,WM,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,WM,,,,,,,,,,x,,,,
Kingsley Napley LLP,WM,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,WM,,,,,,,,,,,,,,
Michelmores LLP,WM,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,WM,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,WM,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,WM,,,,,,,,,,,,,,
Muckle LLP,WM,x,x,,,x,x,,,,x,x,x,,
Plexus Law,WM,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,WM,x,x,,,,x,x,x,,x,x,x,x,
Stephenson Harwood LLP,WM,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,WM,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,WM,,,,,,,,,,,,,,
Trowers & Hamlins LLP,WM,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,WM,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,WM,x,x,,,x,,,,,x,,,,
Acuity Legal Limited,EE,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,EE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,EE,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,EE,x,,,,,,x,,,x,x,x,,
Birketts LLP,EE,x,x,,,x,x,x,x,,x,x,x,,
Blake Morgan LLP,EE,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,EE,,,,,,,,,,,,,,
Browne Jacobson LLP,EE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,EE,,,,,,,,,,,,,,
Capsticks Solicitors LLP,EE,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,EE,,,,,,,,,,,,x,,
Cleveland Scott York LLP,EE,,,,,,,,,,,x,,,
Clyde & Co LLP,EE,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,EE,x,,,,,,x,,,,,,,
Dolmans Solicitors,EE,,,,,,,,,,,,,,
EMW Law LLP,EE,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),EE,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,EE,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,EE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,EE,,,,,,,,,,,,,,
Hempsons,EE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,EE,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,EE,,,,,,,,,,x,,,,
Hugh James,EE,x,,,,,x,x,x,,x,x,,,
Judge and Priestley LLP,EE,,,,,,x,,,,,,,,
Kennedys Law LLP,EE,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,EE,,,,,,,,,,x,,,,
Kingsley Napley LLP,EE,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,EE,,,,,,,,,,,,,,
Michelmores LLP,EE,x,,_,,x,,x,,,,,x,,
Mills & Reeve LLP,EE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,EE,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,EE,,,,,,,,,,,,,,
Muckle LLP,EE,x,x,,,x,x,,,,x,x,x,,
Plexus Law,EE,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,EE,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,EE,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,EE,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,EE,,,,,,,,,,,,,,
Trowers & Hamlins LLP,EE,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,EE,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,EE,x,x,,,,x,,,,x,,,,
Acuity Legal Limited,GL,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,GL,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,GL,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,GL,x,,,,,,x,,,x,x,x,,
Birketts LLP,GL,x,x,,,x,x,x,x,,x,x,x,,
Blake Morgan LLP,GL,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,GL,,,,,,,,,,,,,,
Browne Jacobson LLP,GL,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,GL,,,,,,,,,,,,,,
Capsticks Solicitors LLP,GL,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,GL,,,,,,,,,,,,x,,
Cleveland Scott York LLP,GL,,,,,,,,,,,x,,,
Clyde & Co LLP,GL,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,GL,x,,,,,,x,,,,,,,
Dolmans Solicitors,GL,,,,,,,,,,,,,,
EMW Law LLP,GL,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),GL,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,GL,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,GL,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,GL,,,,,,,,,,,,,,
Hempsons,GL,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,GL,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,GL,,,,,,,,,,x,,,,
Hugh James,GL,x,x,,,,x,x,x,x,x,x,x,,
Judge and Priestley LLP,GL,,,,,,x,,,,,,,,
Kennedys Law LLP,GL,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,GL,,,,,,,,,,x,,,,
Kingsley Napley LLP,GL,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,GL,x,x,,,,,x,,,x,x,x,,
Michelmores LLP,GL,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,GL,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,GL,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,GL,,,,,,,,,,,,,,
