code,standard,direct_award,framework,benchmark
C.1,A,Y,4.817413254,2.664327543
C.1,B,N,,2.664327543
C.1,C,N,,2.664327543
C.2,A,Y,2.152359261,2.863669486
C.2,B,N,,2.863669486
C.2,C,N,,2.863669486
C.3,A,Y,0.261803639,0.147674358
C.3,B,N,,0.147674358
C.3,C,N,,0.147674358
C.4,A,Y,1.044170195,0.924576485
C.4,B,N,,0.924576485
C.4,C,N,,0.924576485
C.6,A,Y,0.504376661,0.521197232
C.6,B,N,,0.521197232
C.6,C,N,,0.521197232
C.7,A,Y,1.477341617,2.79
C.7,B,N,,2.79
C.7,C,N,,2.79
C.11,A,Y,0.559664949,0.402315287
C.11,B,N,,0.402315287
C.11,C,N,,0.402315287
C.12,A,Y,0.570684604,0.55908869
C.12,B,N,,0.55908869
C.12,C,N,,0.55908869
C.13,A,Y,0.293527195,0.278780097
C.13,B,N,,0.278780097
C.13,C,N,,0.278780097
C.5,A,Y,210.417146,210.417146
C.5,B,N,,210.417146
C.5,C,N,,210.417146
C.14,A,N,,0.391304969
C.14,B,N,,0.391304969
C.14,C,N,,0.391304969
C.8,,N,,7.77
C.9,,N,,2.123436228
C.10,,N,,0.339580038
C.15,,N,,0.133681013
C.16,,N,,0.061884633
C.17,,N,,0.054791142
C.18,,N,,0.144203938
C.19,,N,,
C.20,,N,,0.222089662
C.21,,N,,
C.22,,N,,
D.1,,N,,3.72
D.2,,N,,0.788311133
D.3,,N,,
D.4,,N,,0.130156679
D.5,,N,,0.537675859
D.6,,N,,0.504780144
E.1,,Y,2.205713791,2.205713791
E.2,,Y,1.077419173,1.077419173
E.3,,Y,1.699992746,1.699992746
E.5,,Y,0.271528521,0.271528521
E.6,,Y,0.426729938,0.426729938
E.7,,Y,0.464256877,0.464256877
E.8,,Y,0.275187479,0.275187479
E.4,,Y,0.803961763,0.803961763
E.9,,N,,
F.1,,N,,0.131769943
F.2,,N,,
F.3,,N,,
F.4,,N,,
F.5,,N,,
F.6,,N,,
F.7,,N,,
F.8,,N,,
F.9,,N,,
F.10,,N,,
G.1,A,Y,12.06480712,5.180191732
G.1,B,N,,5.180191732
G.1,C,N,,5.180191732
G.2,,Y,0.246850926,0.309655408
G.3,A,Y,15.34340218,15.34340218
G.3,B,N,,15.34340218
G.3,C,N,,15.34340218
G.4,A,Y,3.22158141,0.51600061
G.4,B,N,,0.51600061
G.4,C,N,,0.51600061
G.6,,Y,0.287385285,0.314193695
G.7,,Y,0.41761598,0.680804674
G.15,,Y,0.339829435,0.435958498
G.5,A,Y,2.628216558,2.628216558
G.5,B,N,,2.628216558
G.5,C,N,,2.628216558
G.9,,N,,0.425679126
G.8,,N,,
G.10,,N,,1.353096644
G.11,,N,,0.087638111
G.12,,N,,
G.13,,N,,
G.14,,N,,0.307052643
G.16,,N,,3.074542783
H.4,,Y,19.97720308,19.97720308
H.5,,Y,16.37118307,16.37118307
H.7,,N,,0.090667176
H.1,,N,,1.643174129
H.2,,N,,2.146162568
H.3,,N,,0.231962318
H.6,,N,,1.108746715
H.8,,N,,0.014257079
H.9,,N,,47.18790804
H.10,,N,,0.185756004
H.11,,N,,1.022454745
H.12,,N,,
H.13,,N,,5.741978827
H.14,,N,,
H.15,,N,,
H.16,,N,,
I.1,,Y,13.94133429,13.94133429
I.2,,Y,13.29504408,13.29504408
I.3,,Y,13.33580228,13.33580228
I.4,,Y,13.39266414,13.39266414
J.1,,Y,12.78293783,12.78293783
J.2,,Y,13.07783388,13.07783388
J.3,,Y,13.01357828,13.01357828
J.4,,Y,14.63135379,14.63135379
J.5,,Y,13.12597529,13.12597529
J.6,,Y,13.01746574,13.01746574
J.7,,N,,0.141740585
J.8,,N,,
J.9,,N,,1.461560749
J.10,,N,,0.578381891
J.11,,N,,0.776632171
J.12,,N,,
K.2,,Y,225.6743449,225.6743449
K.3,,Y,179.1972027,179.1972027
K.1,,Y,94.86831111,94.86831111
K.7,,Y,23.5797541,23.5797541
K.4,,N,,
K.5,,N,,
K.6,,N,,
L.1,,N,,
L.2,,N,,0.206463155
L.3,,N,,9.054828318
L.4,,N,,0.254508845
L.5,,N,,0.107652283
L.6,,N,,
L.7,,N,,
L.8,,N,,
L.9,,N,,
L.10,,N,,
L.11,,N,,
B.1,,N,0.065,0.065
M.1,,Y,0.014539402,0.014539402
N.1,,Y,0.029853807,0.029853807
M.136,,Y,0.014539402,0.014539402
N.138,,Y,0.029853807,0.029853807
M.140,,Y,0.100904413,0.100904413
M.141,,Y,0.042,0.049824515
M.142,,Y,0.031,0.054279865
M.144,,Y,0.188112841,0.188112841
M.148,,Y,0.103837037,0.103837037
M.146,,Y,26.2091316,26.2091316
O.1,,N,,
