code,name
UKC1,Tees Valley and Durham
UKC2,Northumberland and Tyne and Wear
UKD1,Cumbria
UKD3,Greater Manchester
UKD4,Lancashire
UKD6,Cheshire
UKD7,Merseyside
UKE1,East Yorkshire and Northern Lincolnshire
UKE2,North Yorkshire
UKE3,South Yorkshire
UKE4,West Yorkshire
UKF1,Derbyshire and Nottinghamshire
UKF2,"Leicestershire, Rutland and Northamptonshire"
UKF3,Lincolnshire
UKG1,"Herefordshire, Worcestershire and Warwickshire"
UKG2,Shropshire and Staffordshire
UKG3,West Midlands (county)
UKH1,East Anglia
UKH2,Bedfordshire and Hertfordshire
UKH3,Essex
UKI3,Inner London – West
UKI4,Inner London – East
UKI5,Outer London – East and North East
UKI6,Outer London – South
UKI7,Outer London – West and North West
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire"
UKJ2,"Surrey, East and West Sussex"
UKJ3,Hampshire and Isle of Wight
UKJ4,Kent
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area"
UKK2,Dorset and Somerset
UKK3,Cornwall and Isles of Scilly
UKK4,Devon
UKL11,Isle of Anglesey
UKL12,Gwynedd
UKL13,Conwy and Denbighshire
UKL14,"South West Wales (Ceredigion, Carmarthenshire, Pembrokeshire)"
UKL15,"Central Valleys (Merthyr Tydfil, Rhondda Cynon Taff)"
UKL16,"Gwent Valleys (Blaenau Gwent, Caerphilly, Torfaen)"
UKL17,Bridgend and Neath Port Talbot
UKL18,Swansea
UKL21,Monmouthshire and Newport
UKL22,Cardiff and Vale of Glamorgan
UKL23,Flintshire and Wrexham
UKL24,Powys
UKM21,Angus and Dundee
UKM22,Clackmannanshire and Fife
UKM23,East Lothian and Midlothian
UKM24,Scottish Borders
UKM25,Edinburgh
UKM26,Falkirk
UKM27,"Perth and Kinross, and Stirling"
UKM28,West Lothian
UKM31,"East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond"
UKM32,Dumfries and Galloway
UKM33,East and North Ayrshire mainland
UKM34,Glasgow
UKM35,"Inverclyde, East Renfrewshire, and Renfrewshire"
UKM36,North Lanarkshire
UKM37,South Ayrshire
UKM38,South Lanarkshire
UKM50,Aberdeen and Aberdeenshire
UKM61,"Caithness and Sutherland, and Ross and Cromarty"
UKM62,"Inverness, Nairn, Moray, and Badenoch and Strathspey"
UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute (except Helensburgh and Lomond)"
UKM64,Eilean Siar (Western Isles)
UKM65,Orkney Islands
UKM66,Shetland Islands
UKN01,Belfast
UKN02,"Outer Belfast (Carrickfergus, Castlereagh, Lisburn, Newtownabbey, North Down)"
UKN03,"East of Northern Ireland (Antrim, Ards, Ballymena, Banbridge, Craigavon, Down, Larne)"
UKN04,"North of Northern Ireland (Ballymoney, Coleraine, Derry, Limavady, Moyle, Strabane)"
UKN05,"West and South of Northern Ireland (Armagh, Cookstown, Dungannon, Fermanagh, Magherafelt, Newry and Mourne, Omagh)"
OS01,International coverage
