Work Package Code,Service Code,Service Line
A,Contract Management.,
A,A.1,1. Service A1 - Integration
A,A.1,1.1. The following Standards apply to this Service - SA1.
A,A.1,1.2. The Supplier shall provide an integrated Service ensuring a seamless and coordinated Delivery and effective synergies with the Buyer’s third party Suppliers and service providers are Delivered at all times. The Supplier shall take advantage of synergies between the different Services and the benefits that integration will bring.
A,A.1,1.3. The Supplier shall be aware that Services shall be Delivered across all Buyer Premises as highlighted within Annex G - Property Classification.
A,A.1,1.4. The Supplier will work collaboratively with the Buyer to promote excellence and innovation and enhance the reputation of the Buyer amongst key stakeholders across HM Government and within local communities.
A,A.1,1.5. The Supplier shall:
A,A.1,1.5.1. Focus on cross / multi-skilling of Supplier Staff to allow for efficiencies when delivering the required Services;
A,A.1,1.5.2. Share more efficient ways of working with the Buyer that will ensure better working practices in delivering the Services;
A,A.1,1.5.3. Work collaboratively with the Buyer and identify opportunities in relation to delivering the Services;
A,A.1,1.5.4. Procure Billable Works Services only with the sanction of the Buyer and shall use pan-Government Frameworks approved by the Authority wherever possible. The Supplier shall be invited to review the use of such contracts and make proposals for alternative procurement routes if these can be demonstrated to provide greater value for money for the Buyer; and
A,A.1,"1.5.5. Be alert and provide the benefits of working together to the Buyer. The Supplier shall also provide the most advantageous options in relation to the deployment of Supplier Staff in order to deliver the required Services in the most efficient, cost effective and sensible manner."
A,A.1,"1.6. The Supplier shall work collaboratively with the Buyer when establishing their operational Delivery plan and shall focus on the use of technology, data and analytics to develop maintain and maximise the workplace experience and value-for-money for the Buyer. These Continuous Improvement initiatives shall include:"
A,A.1,"1.6.1. Use of intelligent software to monitor working conditions (e.g. lighting levels, office temperatures);"
A,A.1,"1.6.2. Use of intelligent systems to aid with the Delivery of smarter cleaning, energy usage and maintenance solutions;"
A,A.1,"1.6.3. More effective use of existing software and systems (e.g. BMS, sensor technology and CAFM systems);"
A,A.1,"1.6.4. Use of new technology, to include CCTV, movement sensors, drones and robotic solutions, to support the Delivery of Services where appropriate; and"
A,A.1,1.6.5. Use of automated room booking systems and technology to maximise efficient use of facilities at the Buyer Premises and to monitor space utilisation.
A,A.1,"1.7. The Supplier shall ensure that all opportunities identified that have the potential to deliver performance, economic and social value improvements are presented to the Buyer for consideration."
A,A.1,1.8. The Supplier shall ensure that the initiatives agreed with the Buyer are:
A,A.1,"1.8.1. Captured within the service delivery plan (SDP), as defined within Annex A – FM Service Standards;"
A,A.1,1.8.2. Recorded within the Supplier's CAFM system; and
A,A.1,1.8.3. Reported upon as part of the agreed Contract-reporting regime.
A,A.2,2. Service A2 - Health and Safety
A,A.2,2.1. The following Standards apply to this Service - SA2.
A,A.2,"2.2. The Supplier shall prepare and as appropriate, revise a written safety policy statement. The Supplier Managing Director or appropriate senior manager must sign this safety policy."
A,A.2,2.3. The Supplier shall ensure:
A,A.2,2.3.1. Their safety policy statement aligns with the requirements of the Buyer;
A,A.2,2.3.2. They have suitable organisation and arrangements in place to implement their safety policy throughout the Contract Period; and
