code,name,description,core,work_package_code,total,hard,soft,sort_order
A.1,Integration,,TRUE,A,TRUE,TRUE,TRUE,0
A.2,Health and Safety,,TRUE,A,TRUE,TRUE,TRUE,1
A.3,Management Services,,TRUE,A,TRUE,TRUE,TRUE,2
A.4,Service Delivery Plans,,TRUE,A,TRUE,TRUE,TRUE,3
A.5,Fire Safety,,TRUE,A,TRUE,TRUE,TRUE,4
A.6,Accessibility Services,,TRUE,A,TRUE,TRUE,TRUE,5
A.7,Risk management,,TRUE,A,TRUE,TRUE,TRUE,6
A.8,Customer satisfaction,,TRUE,A,TRUE,TRUE,TRUE,7
A.9,Reporting,,TRUE,A,TRUE,TRUE,TRUE,8
A.10,Performance self-monitoring,,TRUE,A,TRUE,TRUE,TRUE,9
A.11,Business Continuity and Disaster Recovery (BCDR) Plan,,TRUE,A,TRUE,TRUE,TRUE,10
A.12,Quality Management Systems,,TRUE,A,TRUE,TRUE,TRUE,11
A.13,"Staff Management, Recruitment and Training",,TRUE,A,TRUE,TRUE,TRUE,12
A.14,Selection and Management of Subcontractors,,TRUE,A,TRUE,TRUE,TRUE,13
A.15,Compliance,,TRUE,A,TRUE,TRUE,TRUE,14
A.16,Sustainability,,TRUE,A,TRUE,TRUE,TRUE,15
A.17,Social Value,,TRUE,A,TRUE,TRUE,TRUE,16
A.18,Carbon Net Zero,,TRUE,A,TRUE,TRUE,TRUE,17
B.1,Contract Mobilisation,,TRUE,B,TRUE,TRUE,TRUE,0
C.1,Social Value,,TRUE,C,TRUE,TRUE,TRUE,0
D.1,Carbon Net Zero,,TRUE,D,TRUE,TRUE,TRUE,0
E.1,Mechanical and Electrical Engineering Maintenance,"Maintenance of mechanical, electrical and plumbing systems, ensuring optimum performance and statutory obligations",TRUE,E,TRUE,TRUE,FALSE,0
E.2,Ventilation and air conditioning systems maintenance,Maintenance of ventilation and air conditioning systems ensuring optimum performance and statutory obligations,TRUE,E,TRUE,TRUE,FALSE,1
E.3,Environmental cleaning service,Environmental cleaning service to ensure compliance with all statutory requirements,TRUE,E,TRUE,TRUE,FALSE,2
E.4,Fire detection and firefighting systems maintenance,Maintenance and testing of fire detection and firefighting systems,TRUE,E,TRUE,TRUE,FALSE,3
E.5,"Lifts, hoists and conveyance systems maintenance","Maintenance of the lifts, hoists and conveyance systems within the buyer premises",TRUE,E,TRUE,TRUE,FALSE,4
E.6,"Security, access and intruder systems maintenance","Maintenance of all security, access and intruder systems within the buyer’s premises",TRUE,E,TRUE,TRUE,FALSE,5
E.7,Internal and external building fabric maintenance,"Maintenance of the internal and external building fabric, taking account of the asset registers, and planned maintenance schedules",TRUE,E,TRUE,TRUE,FALSE,6
E.8,Reactive maintenance services,"Provision of a professionally managed service for reactive repairs and maintenance 24 hours per day, 365 days per year",TRUE,E,TRUE,TRUE,FALSE,7
E.9,Planned / Group re-lamping service,"Re-lamping service within the buyers premise, achieving the greatest possible reduction in replacement frequency and cost",FALSE,E,TRUE,TRUE,FALSE,8
E.10,Automated barrier control system maintenance,"Maintenance service for automated barriers, shutters, turn-styles, doors and electrified fencing",TRUE,E,TRUE,TRUE,FALSE,9
E.11,Building Management System (BMS) maintenance,Maintenance of the building management system to allow an efficient and effective building engineering service,TRUE,E,TRUE,TRUE,FALSE,10
E.12,Standby power system maintenance,Maintenance and operation of backup generators and uninterrupted power supply equipment,TRUE,E,TRUE,TRUE,FALSE,11
E.13,High Voltage (HV) and switchgear maintenance,Maintenance of high voltage (hv) and switchgear in accordance with manufacturers’ recommendations and statutory obligations,TRUE,E,TRUE,TRUE,FALSE,12
E.14,Catering equipment maintenance,Maintenance of catering equipment in accordance with manufacturers’ and installers’ recommendations and statutory obligations,FALSE,E,TRUE,TRUE,FALSE,13
E.15,Audio Visual (AV) equipment maintenance,Maintenance of any av equipment which is designed to display or take input from portable media or is computer driven,FALSE,E,TRUE,TRUE,FALSE,14
E.16,Television cabling maintenance,Maintenance of the existing cabling infrastructure which is designated for the transmission of television pictures,FALSE,E,TRUE,TRUE,FALSE,15
E.17,Mail room equipment maintenance,"Operation and maintenance of mail room equipment, including franking machines, sorters, postal scales and x-ray scanners",FALSE,E,TRUE,TRUE,FALSE,16
E.18,Office Machinery Servicing and Maintenance,"Office machinery servicing and maintenance, including photocopiers, fax machines, scanners and shredders",FALSE,E,TRUE,TRUE,FALSE,17
E.19,Voice announcement system maintenance,Provision and maintenance of all voice announcement systems and equipment,FALSE,E,TRUE,TRUE,FALSE,18
E.20,Locksmith Services,Specialist locksmith service to repair or replace ironmongery,FALSE,E,TRUE,TRUE,FALSE,19
E.21,Specialist maintenance Services,"Specialist maintenance services, including bulk aircraft fuel supply, offshore hazard markers, coal-fired boilers, sewerage plants",FALSE,E,TRUE,TRUE,FALSE,20
F.1,Asbestos Management,Ensuring buyer premises are statutory compliant with asbestos regulations. Managing asbestos register and surveys,TRUE,F,TRUE,TRUE,FALSE,0
F.2,Water Hygiene Maintenance,"Water hygiene maintenance services including statutory compliance, risk assessments, cleaning regime, inspection and monitoring",TRUE,F,TRUE,TRUE,FALSE,1
F.3,Statutory Inspections,"Statutory inspections and certification, air monitoring, risk assessments, insurance inspections. Achieve and maintain statutory compliance",TRUE,F,TRUE,TRUE,FALSE,2
F.4,Portable Appliance Testing,Portable appliance testing service for buyers equipment,FALSE,F,TRUE,TRUE,FALSE,3
F.5,"Miscellaneous Surveys, Audits and Testing Services","Provision of surveys, audits and testing of services",FALSE,F,TRUE,TRUE,FALSE,4
F.6,Condition surveys,"Manage condition surveys that shall cover all systems, assets and building fabric",FALSE,F,TRUE,TRUE,FALSE,5
F.7,Electrical Testing,Electrical installation condition reports in accordance with current regulations,TRUE,F,TRUE,TRUE,FALSE,6
F.8,Fire Risk Assessments,Review of fire risk assessment and fire safety plans. Subsequent reviews to ensure compliance,TRUE,F,TRUE,TRUE,FALSE,7
F.9,Building Information Modelling and Government Soft Landings,Delivery of strategic priorities related to the wider government policy in line with building information modelling (level 2) and government soft landings,FALSE,F,TRUE,TRUE,FALSE,8
F.10,Display Energy Certificates (DECs),"Perform the audit, issue and display and renewal of the energy certificates",TRUE,F,TRUE,TRUE,FALSE,9
F.11,Energy Performance Certificates (EPCs),"Perform the audit, issue and display and renewal the EPC certificates",TRUE,F,TRUE,TRUE,FALSE,10
F.12,Radon Gas Management Services,Manage radon surveys and radon risk assessments,FALSE,F,TRUE,TRUE,FALSE,11
F.13,Permit to Work,Issue and manage Permits to Work,TRUE,F,TRUE,TRUE,FALSE,12
G.1,Hard Landscaping Services,"Grounds maintenance services including planned and reactive maintenance, and hard landscaping maintenance",TRUE,G,TRUE,FALSE,TRUE,0
G.2,Soft Landscaping Services,"Grounds maintenance services including planned and reactive maintenance, and soft landscaping maintenance",TRUE,G,TRUE,FALSE,TRUE,1
