Work Package Code,Service Code,Service Line
A,A,Management Services
A,A1,Integration
A,A1,"2.1. All applicable requirements detailed in paragraph 1 (Statutory and Mandated Requirements), shall apply to this Service."
A,A1,2.2. The Supplier shall provide an integrated Service ensuring a seamless and coordinated Delivery and effective synergies with Buyer Third Parties and other service providers are delivered at all times. The Supplier shall take advantage of synergies between the different Services and the benefits that integration will bring.
A,A1,2.3. The Supplier shall be aware that Services shall be Delivered across all Buyer Premises as highlighted within Appendix D - Property Classifications.
A,A1,2.4.  The Supplier shall work collaboratively with the Buyer to promote excellence and innovation and enhance the reputation of the Buyer amongst key stakeholders across HM Government and within local communities.
A,A1,2.5. The Supplier shall:
A,A1,2.5.1. Consider cross / multi-skilling of Supplier Staff to allow for efficiencies when delivering the required Services;
A,A1,2.5.2. Share more efficient ways of working with the Buyer that will ensure better working practices in delivering the Services;
A,A1,2.5.3. Work collaboratively with the Buyer and identify opportunities in relation to delivering the Services;
A,A1,"2.6. The Supplier shall provide the most advantageous options in relation to the deployment of Supplier Staff in order to deliver the required Services in the most efficient, cost effective and sensible manner."
A,A1,"2.7. The Supplier shall work collaboratively with the Buyer when establishing their Service Delivery Plan and shall focus on the use of technology, data, insights and analytics to develop, maintain and maximise the workplace experience, value-for-money for the Buyer and to allow both the Supplier and the Buyer to make better decisions on matters, including but not limited to, estate use, maintenance, Additional Works and capital projects. These continuous improvement initiatives shall include but not be limited to:"
A,A1,"2.7.1. Use of intelligent software to monitor working conditions (e.g. lighting levels, office temperatures);"
A,A1,"2.7.2. Use of intelligent systems to aid with the Delivery of smarter cleaning, energy usage and maintenance solutions;"
A,A1,"2.7.3. More effective use of existing software and systems (e.g. Building Management Systems (BMS), sensor technology and Computer Aided Facilities Management (CAFM) systems);"
A,A1,"2.7.4. Use of new technology, to include artificial intelligence (AI), closed-circuit television (CCTV), movement sensors, drones and robotic solutions, to support the Delivery of Services where appropriate; and"
A,A1,2.7.5. Use of automated room booking systems and technology to maximise efficient use of facilities at the Buyer Premises and to monitor space utilisation.
A,A1,"2.8. The Supplier shall ensure that all opportunities identified that have the potential to deliver performance, economic and social value improvements are presented to the Buyer for consideration. "
A,A1,2.9. The Supplier shall ensure that the initiatives agreed with the Buyer are:
A,A1,"2.9.1. Captured within the Service Delivery Plan (SDP),"
A,A1,2.9.2. Recorded within the CAFM System; and
A,A1,2.9.3. Reported upon as part of the agreed Contract reporting regime.
A,A2,Health & Safety
A,A2,3.4.2. They have suitable organisation and arrangements in place to implement their safety policy throughout the Contract Period;
A,A2,3.4.3. Their infection prevention and control policy aligns with all regulations and any UK Health Security Agency (UKHSA) and Department of Health and Social Care (DHSC) guidelines in addition to any further measures set out in the Health and safety Executive guidelines and/or agreed with the Authority.
A,A2,"3.4.4. They recognise that regulations may vary between regions and across Devolved Administrations, and where required, they adopt and comply with any applicable regulations as necessary;"
A,A2,"3.4.5. The safety policy and safety management plan shall be readily available and accessible to all their employees and anyone, including the Buyer, who may require sight of it;"
A,A2,3.4.6. Details of their safety management plan shall be reviewed and revised accordingly to take account of legislation and other factors that may affect its effectiveness;
A,A2,3.4.7. Inclusion of infection prevention and control activities and measures within the safety management plan;
A,A2,3.4.8. They have appropriate number of first aid and CPR trained personnel deployed to successfully meet their own and the Buyer’s health and safety requirements in accordance with all regulations;
A,A2,3.4.9. It provides any training required by the procedures and statutory provisions in respect of all staff (whether Buyer or Supplier Staff) at the Buyer Premises as well as in emergency response and security procedures;
A,A2,3.4.10. It produces detailed procedures for a variety of emergency situations in conjunction with Buyer. These procedures shall be continually updated and reviewed as circumstances demand and at least annually;
A,A2,"3.4.11. It develops and maintains fire and emergency procedures, systems, equipment and staff training in order to produce a safe environment for the designated site and its users. Systems shall be unobtrusive where possible to assist in creating a positive building atmosphere for all users;"
A,A2,3.4.12. It carries out actions associated with implementation of the procedures routinely as well as in the event of any fire or other emergencies on-site.
A,A2,"3.4.13. It programmes and implements health and safety inspections of the Buyer Premises and Service Delivery annually, and provides evidence to the Buyer on request."
A,A2,3.4.14. It conducts and reviews all risk assessments relevant to the operation of the Buyer Premises and the delivery of Services in accordance with current statutory health and safety legislation.
A,A2,"3.4.15. It undertakes a Monthly review of all accidents occurring at the Buyer Premises whether relating to the Supplier Staff, Building Users or Buyer Staff using the Buyer Premises or to the Supplier's delivery of Services. The report shall detail the cause of each incident and any remedial actions required to prevent reoccurrence, together with timescales for implementation;"
A,A2,3.4.16. It reviews all policies and associated Documentation on a regular basis and at least annually and provide evidence of such on request by the Buyer;
A,A2,3.4.17. It complies with all health and safety obligations including at all the Buyer’s Premises which are occupied under leasehold arrangements;
A,A2,3.4.18. It at all times provides and maintains first aid kits and other safety equipment and all related consumables issued to and used by Supplier Staff on the Buyer Premises; and
A,A2,"3.4.19. It provides the required numbers of Supplier Staff with an appropriate first aid responder qualification and training for emergency responses in accordance with health and safety legislation, as required by legislation and risk assessment (as a minimum) and any Buyer’s specific requirements."
A,A2,"3.5. If required, the Supplier shall provide a professional advice service on all matters relating to health and safety at work. The Service shall be limited to the Buyer Premises and FM related issues."
A,A2,"3.6. If required, the Supplier shall provide a professional advice service on all matters relating to infection prevention and control, including health surveillance, reporting and welfare measures. The Service shall be limited to the Buyer Premises and FM related issues."
A,A2,3.7. The Supplier shall notify the Buyer in writing of any potential implications of not implementing the recommendations of any advice given in relation to health and safety and / or infection prevention and control policies.
A,A2,3.8. The Supplier shall provide a single point of contact for professional advice pertaining to health and safety and infection prevention and control matters as they relate to the Delivery of the Services and management at each Buyer Premises.
A,A2,"3.9. The Supplier is required to provide a health and safety expert who is either a member of the Institution of Occupational Safety and Health (IOSH) or holds an equivalent qualification that is issued by a recognised organisation. Details of the professional qualifications and accreditation required shall be defined as part of a Call-Off Procedure. [The Buyer is to define such requirements here or provide details of where such requirements can be located within the bid pack e.g. “Please see Call-Off Schedule X for more information”. If no further details are required by the Buyer, please consider either replacing the text with NOT USED or amend accordingly]"
A,A2,"3.10. The Supplier shall be responsible for recording and investigating all accidents, incidents, dangerous occurrences and near misses involving Supplier Staff, to include Subcontracted third party staff (delivering FM Services on this Contract on the Supplier’s behalf), and shall issue a written report, which shall include recommendations to prevent any repeat to the Buyer."
A,A2,3.11. The Supplier shall be responsible for ensuring that all RIDDOR related incidents are reported in accordance with Health and Safety Executive (HSE) legislation. The Supplier shall be responsible for ensuring that the Buyer is notified immediately in writing of any RIDDOR related incidents.
A,A2,3.12. The Supplier shall provide support services to the Buyer during any Major Accident Control Regulations (MACR) process.
A,A2,Hazardous Materials
A,A2,"3.13. The Supplier shall avoid the use of hazardous substances including substances which are radioactive, flammable, explosive, toxic, corrosive, bio hazardous, oxidisers, asphyxiates, pathogens or allergens."
A,A2,"3.14. On the occasions where there are no alternatives, hazardous materials shall be stored, used and disposed of in accordance with the instructions of the product Control of Substances Hazardous to Health (CoSHH) regulations and all relevant legislation."
A,A3,Management Services
A,A3,"4.1. All applicable requirements detailed in paragraph 1 (Statutory and Mandated Requirements), shall apply to this Service."
A,A3,4.2. The Supplier shall:
A,A3,4.2.1. Manage the Contract in accordance with the Service Delivery Plan as agreed with the Buyer and Call-Off Schedule 15 (Call-Off Contract Management);
A,A3,4.2.2. Produce and issue the agreed management reports and attend meetings as requested by the Buyer to maintain the agreed contractual performance standards in accordance with Call-Off Schedule 15 (Call-Off Contract Management);
A,A3,4.2.3. Be responsible for ensuring change management activities are developed and agreed with the Buyer and included in the Service Delivery Plan;
A,A3,"4.2.4. Ensure that they have processes in place to attract, recruit and retain appropriately skilled and experienced Supplier Staff for the duration of the Call-Off Contract."
A,A3,"4.2.5. Ensure the Supplier Staff delivering the Services shall be security cleared to [Baseline Personnel Security Standard (BPSS)] clearance level. A higher security clearance may be required by the Buyer for parts of, or all of a Call-Off Contract, including but not limited to counter terrorist check (CTC), security check (SC) or developed vetting (DV) and if required, the Supplier Staff shall be security cleared to the enhanced level where required [The Buyer is to define any additioanl security clearance requirements here or provide details of where such requirements can be located within the bid pack e.g. “Please see Call-Off Schedule X for more information” This adaptation of the Specification would deem this as a non-standard overhead, and whilst Suppliers would be expected to price in accordance with the Framework Prices they would be permitted to exceed the relevant Framework Price for Overhead, if agreed by the Buyer as part of a Call-Off Procedure.]"
A,A3,4.2.6. Develop and maintain appropriate management and staffing levels for the supply of the Services as documented in the Service Delivery Plan;
A,A3,"4.2.7. Develop and maintain appropriate working practices, policies, procedures and methods to ensure that the Services are supplied in accordance with relevant FM Service Standards."
A,A3,4.2.8. Review all method statements and risk assessments from Subcontractors prior to the start of any FM related activities to ensure:
A,A3,4.2.8.1. The works processes and control measures are compliant with all health and safety and Buyer requirements; and
A,A3,"4.2.8.2. All Supplier appointed Subcontractor Staff engaged in the work possess the relevant skills, qualifications and accreditations to undertake the works."
A,A3,"4.2.9. Comply with all of the Buyer’s procedures and security policies and act upon the instructions of the Buyer should there be a change in the threat assessment and response level. Further details of these requirements shall be highlighted as part of a Call-Off Procedure. [The Buyer is to define such requirements here or provide details of where such requirements can be located within the bid pack e.g. “Please see Call-Off Schedule X for more information”. If no further details are required by the Buyer, please consider either replacing the text with NOT USED or amend accordingly]"
A,A3,4.2.10. Ensure that all Supplier Staff adopt and follow all security contingency plans as directed by the Buyer in the event of a security alert or incident;
A,A3,4.2.11. Be responsible for ensuring all Supplier Staff are provided with the necessary training in relation to their responsibilities and activities when changes in security status occur;
A,A3,"4.2.12. Be aware that measures may require all Supplier, Subcontractor and supply chain staff to vacate Buyer Premises as directed by the Buyer;"
A,A3,4.2.13. Ensure that Supplier Staff and Subcontractors requiring access to the Buyer’s Premises have the appropriate security clearance;
A,A3,"4.2.14. Unless prior Approval has been received from the Buyer, the Supplier shall be responsible for meeting the costs associated with security clearances for Supplier Staff and Subcontractors;"
A,A3,4.2.15. Unless prior Approval has been received from the Buyer the Supplier shall be responsible for the provision of security cleared escort Services and shall meet all associated costs as required for works undertaken by the Supplier on in-scope Services; and
A,A3,"4.2.16. Recognise that some of the Buyer’s data is protectively marked and may contain potentially sensitive information and shall ensure that management systems are in place to maintain the security of the Buyer’s data. Further details of these requirements shall be highlighted as part of a Call-Off Procedure. [The Buyer is to define such requirements here or provide details of where such requirements can be located within the bid pack e.g. “Please see Call-Off Schedule X for more information”. If no further details are required by the Buyer, please consider either replacing the text with NOT USED or amend accordingly]"
A,A3,"4.3. The Suppliers Staff, to include all Subcontracted and supply chain staff, shall cooperate with and assist the Buyer with the implementation of all enhanced security related measures required in the event that enhanced security measures be required in response to increased threat assessment and / or level of alert."
A,A3,"4.4. Where required, the Supplier shall provide, maintain and repair any furniture, furnishings, special fittings, office equipment and training equipment for Supplier Staff located at Buyer Premises as necessary to provide the Service. The Supplier shall also provide Supplier Staff with all consumables necessary to deliver the Service."
A,A3,"4.5. The Supplier shall provide expert technical and professional advice to the Buyer upon request on issues related to the Services detailed within this Specification. These shall include but not be limited to, advice on hybrid working and use of smart technology. "
A,A4,Service Delivery Plans (SDP)
A,A4,"5.1. All applicable requirements detailed in paragraph 1 (Statutory and Mandated Requirements), shall apply to this Service."
A,A4,"5.2. The Supplier shall prepare a Service Delivery Plan for the Buyers requirements for Services in scope of the Call-Off Contract, describing its approach to providing the required Services. "
A,A4,"5.3. As a minimum, the buildings and Asset maintenance management section of the Service Delivery Plan shall contain:"
A,A4,5.3.1. Scope and Services objectives;
