,,,
,Work Package Ref,Service Reference,Work Package
,Work Package A - Contract Management,,Work Package A – Contract Management
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,1.       Service A:1 - Integration
,Work Package A - Contract Management,,1.1.    Service A:1 – Integration is Mandatory for Lot 1a-1c.
,Work Package A - Contract Management,A.1,1.2.    The Supplier shall provide an integrated Service ensuring a seamless and coordinated Delivery and effective synergies with the Buyer’s third party suppliers and service providers are Delivered at all times. The Supplier shall take advantage of synergies between the different Services and the benefits that integration will bring.
,Work Package A - Contract Management,A.1,1.3.    The Supplier shall be aware that Services shall be delivered across all Buyer Premises as highlighted within Annex G - Property Classification.
,Work Package A - Contract Management,A.1,1.4.    The Supplier will work collaboratively with the Buyer to promote excellence and innovation and enhance the reputation of the Buyer amongst key stakeholders across Government and within local communities.
,Work Package A - Contract Management,A.1,1.5.    The Supplier shall: 
,Work Package A - Contract Management,A.1,1.5.1.  Focus on cross / multi-skilling of Supplier Staff to allow for efficiencies when delivering the required Services;  
,Work Package A - Contract Management,A.1,1.5.2.  Share more efficient ways of working with the Buyer that will ensure better working practices in delivering the Services;
,Work Package A - Contract Management,A.1,1.5.3.  Work collaboratively with the Buyer and identify opportunities in relation to delivering the Services;
,Work Package A - Contract Management,A.1,1.5.4.  Procure billable works Services only with the sanction of the Buyer and shall use pan-Government Frameworks approved by the Authority wherever possible. The Supplier shall be invited to review the use of such contracts and make proposals for alternative procurement routes if these can be demonstrated to provide greater value for money for the Buyer; and
,Work Package A - Contract Management,A.1,"1.5.5.  Be alert and provide the benefits of working together to the Buyer. The Supplier shall also provide the most advantageous options in relation to the deployment of Supplier Staff in order to deliver the required Services in the most efficient, cost effective and sensible manner."
,Work Package A - Contract Management,A.1,"1.6.    The Supplier shall work collaboratively with the Buyer when establishing their operational delivery plan and shall focus on the use of technology, data and analytics to develop, maintain and improve the workplace experience and value-for-money for the Buyer. These initiatives shall include:"
,Work Package A - Contract Management,A.1,"1.6.1. Use of intelligent software to monitor working conditions (e.g. lighting levels, office temperatures);"
,Work Package A - Contract Management,A.1,"1.6.2. Use of intelligent systems to aid with the Delivery of smarter cleaning, energy usage and maintenance solutions;"
,Work Package A - Contract Management,A.1,"1.6.3. Use of new technology, to include CCTV, movement sensors, drones and robotic solutions, to support the Delivery of Services where appropriate; and"
,Work Package A - Contract Management,A.1,1.6.4. Use of automated room booking systems and technology to maximise efficient use of facilities at the Buyer Premises and to monitor space utilisation.
,Work Package A - Contract Management,A.1,"1.7.    The Supplier shall ensure that all opportunities identified that have the potential to deliver performance, economic and social value improvements are presented to the Buyer for consideration.  "
,Work Package A - Contract Management,A.1,1.8.    The Supplier shall ensure that the initiatives agreed with the Buyer are:
,Work Package A - Contract Management,A.1,"1.8.1. Captured within the Service Delivery Plan (""SDP""), as defined within Annex A – FM Service Standards;"
,Work Package A - Contract Management,A.1,1.8.2. Recorded within the Supplier's CAFM system; and
,Work Package A - Contract Management,A.1,1.8.3. Reported upon as part of the agreed contract reporting regime.
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,2.       Service A:2 - Health and Safety
,Work Package A - Contract Management,,2.1.    Service A:2 – Health and Safety is Mandatory for Lot 1a-1c.
,Work Package A - Contract Management,A.2,"2.2.    The Supplier shall prepare and as appropriate, revise a written safety policy statement.  This safety policy must be signed by the Supplier Managing Director or appropriate senior manager."
,Work Package A - Contract Management,A.2,2.3.    The Supplier shall ensure:
,Work Package A - Contract Management,A.2,"2.3.1.  Their safety policy statement aligns with the requirements of the Buyer and that throughout the Contract period, they have suitable organisation and arrangements in place to implement their safety policy;"
,Work Package A - Contract Management,A.2,"2.3.2.  The safety policy and safety management plan shall be readily available and accessible to all their employees and anyone, including the Buyer, who may require sight of it; and "
,Work Package A - Contract Management,A.2,2.3.3.  Details of their Safety Management shall be reviewed and revised accordingly to take account of legislation and other factors that may affect its effectiveness.
,Work Package A - Contract Management,A.2,2.3.4.  They have appropriate number of first aid trained personnel deployed to successfully meet their own and the Buyer’s H&S requirements in accordance with the Health and Safety (First Aid Regulations) 1981.
,Work Package A - Contract Management,A.2,"2.4.    If required, the Supplier shall provide a professional advice service on all matters relating to the Health and Safety at Work Act 1974 and any subsequent re-enactments."
,Work Package A - Contract Management,A.2,2.5.    The Services may be requested by mutual agreement between the Buyer and the Supplier and shall be limited to the Buyer Premises and FM issues.
,Work Package A - Contract Management,A.2,2.6.    The Supplier shall notify the Buyer in writing of any potential implications of not implementing the recommendations of any advice given.
,Work Package A - Contract Management,A.2,2.7.    The Supplier shall provide a single point of contact for professional advice pertaining to Health and Safety matters as they relate to the Delivery of the Services and management at each Buyer Premises.
,Work Package A - Contract Management,A.2,"2.8.    The Supplier is required to provide a Health and Safety expert who is either a member of the Institution of Occupational Safety and Health (""IOAH"") or hold an equivalent qualification that is issued by a recognised organisation.  Details of the professional qualifications and accreditation required will be defined at Call-Off."
,Work Package A - Contract Management,A.2,"2.9.    The Supplier shall be responsible for recording and investigating all accidents, incidents, dangerous occurrences and near misses involving their staff, to include Sub-Contracted third party staff delivering FM Services on their behalf, and shall issue a written report which shall include recommendations to prevent any repeat to the Buyer."
,Work Package A - Contract Management,A.2,2.10.The Supplier shall be responsible for ensuring that all RIDDOR related incidents are reported in accordance with HSE legislation and shall ensure the Buyer is notified immediately in writing.
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,3.       Service A:3 - Management Services
,Work Package A - Contract Management,,3.1.    Service A:3 – Management Services Mandatory for Lot 1a-1c.
,Work Package A - Contract Management,A.3,3.2.    The Supplier shall: 
,Work Package A - Contract Management,A.3,3.2.1.  Be responsible for ensuring a change management plan is in place which shall be developed and agreed with the Buyer at the Contract mobilisation phase;
,Work Package A - Contract Management,A.3,"3.2.2. Ensure that they have processes in place to attract, recruit and retain appropriately skilled and experienced Supplier Staff for the duration of the Call-Off Contract. The Supplier Staff shall be security cleared to “SC” level unless the Buyer specifies otherwise at Call Off. Details of the professional qualifications and accreditation required will be defined at Call-Off;"
,Work Package A - Contract Management,A.3,3.2.3. Develop and maintain appropriate management and staffing levels for the supply of the Services as documented in the SDP within the FM Service Standards;
,Work Package A - Contract Management,A.3,"3.2.4. Develop and maintain appropriate working practices, policies, procedures and methods to ensure that the Services are supplied in accordance with Annex A - FM Service Standards. The Supplier shall follow such FM Standards at all times;"
,Work Package A - Contract Management,A.3,3.2.5. Review all method statements and risk assessments from third party suppliers prior to the start of any FM related activities to ensure:
,Work Package A - Contract Management,A.3,3.2.5.1.              The works processes and control measures are compliant with all Health and Safety and Buyer requirements; and 
,Work Package A - Contract Management,A.3,"3.2.5.2.              All Supplier Staff engaged in the work possess the relevant skills, qualifications and accreditations to undertake the works."
,Work Package A - Contract Management,A.3,3.2.6. Comply with all of the Buyer’s procedures and Security Policies and act upon the instructions of the Buyer should there be a change in the threat assessment and Response Level (Response Level has the meaning given to it at SJ9 of Annex A  - FM Service Standards of this framework Schedule 1 (Specification) associated with the Buyer Premises.  Further details of the security requirements will be provided at Call-Off;
,Work Package A - Contract Management,A.3,3.2.7.  Ensure that all staff adopt and follow all security contingency plans as directed by the Buyer in the event of a security alert or incident;
,Work Package A - Contract Management,A.3,3.2.8.  Be responsible for ensuring all Supplier staff are provided with the necessary training in relation to their responsibilities and activities when changes in security status occur;
,Work Package A - Contract Management,A.3,"3.2.9.  Be aware that the implementation of these enhanced measures may require all Supplier, Sub Contractor and supply chain staff to vacate an Affected Property as directed by the Buyer;"
,Work Package A - Contract Management,A.3,3.2.10.    Ensure that Supplier Staff and Subcontractors requiring access to the Buyer’s Premises have the appropriate security clearance. It is the Supplier's responsibility to establish whether or not the level of clearance will be sufficient for access; 
,Work Package A - Contract Management,A.3,3.2.11.    Unless prior approval has been received from the Buyer the Supplier shall be responsible for meeting the costs associated with security clearances for Supplier staff and sub-contractors;
,Work Package A - Contract Management,A.3,3.2.12.    Unless prior approval has been received from the Buyer the Supplier shall be responsible for the provision of security cleared escort services and shall meet all associated costs as required for works undertaken by the Supplier on in-scope Services; and 
,Work Package A - Contract Management,A.3,3.2.13.    Recognise that some of the Buyer’s data is protectively marked and may contain potentially sensitive information and shall ensure that management systems are in place to maintain the security of the Buyer’s data. Further information will be provided at Call-Off stage.
,Work Package A - Contract Management,A.3,"3.3.    The Suppliers staff, to include all sub-contracted and supply chain staff, shall cooperate with and assist the Buyer with the implementation of all enhanced security related measures required in the event that enhanced security measures be required in response to increased threat assessment and / or level of alert."
,Work Package A - Contract Management,A.3,"3.4.    Where required, the Supplier shall provide, maintain and repair any furniture, furnishings, special fittings, office equipment and training equipment for Supplier Personnel located at Buyer Premises as necessary to provide the Service. The Supplier shall also provide Supplier Personnel with all consumables necessary to deliver the Service including but not limited to stationery."
,Work Package A - Contract Management,A.3,3.5.    The Supplier shall provide expert technical and professional advice to the Buyer upon request on issues related to the Services detailed within this Framework Schedule 1 (Specification).
,Work Package A - Contract Management,,
,Work Package A - Contract Management,,4.       Service A:4 - Service Delivery Plans
,Work Package A - Contract Management,,4.1.    Service A:4 – Service Delivery Plans are Mandatory for Lot 1a-lc.
,Work Package A - Contract Management,A.4,"4.2.    The Supplier shall prepare a SDP for each Buyer’s requirements, describing its approach to providing the required Services. As a minimum, the buildings and Asset maintenance management SDP shall contain:"
,Work Package A - Contract Management,A.4,4.2.1. Scope and Services objectives;
,Work Package A - Contract Management,A.4,"4.2.2. Approach  and methodology: Asset management method statement for meeting the Buyer’s requirements, including treatment of any lifecycle / sinking funds (if applicable) and details regarding where such funds will reside, safeguards on early draw down and control of such funds;"
,Work Package A - Contract Management,A.4,4.2.3. Variation Procedures and additional work requests;
,Work Package A - Contract Management,A.4,4.2.4. Operational structure including resource proposals;
,Work Package A - Contract Management,A.4,4.2.5. Planned maintenance and Asset lifecycle replacement schedule and Delivery methodology;
,Work Package A - Contract Management,A.4,4.2.6. Quality policy / quality statement;
,Work Package A - Contract Management,A.4,4.2.7. Third party suppliers / partners;
,Work Package A - Contract Management,A.4,4.2.8. Balanced scorecard certification;
,Work Package A - Contract Management,A.4,4.2.9. Procurement of Services;
,Work Package A - Contract Management,A.4,4.2.10.    Procurement of materials taking account of embodied carbon and recycled content; 
,Work Package A - Contract Management,A.4,4.2.11.    Management of energy use including lighting;
,Work Package A - Contract Management,A.4,"4.2.12.    Planned Preventative Maintenance  (""PPM"") methodology / SFG20 methodology / schedules; including Uniclass and NRM classifications for interoperability;"
,Work Package A - Contract Management,A.4,4.2.13.    Computerised Asset management system;
