uprn,udprn,change_type,state,state_date,class,parent_uprn,x_coordinate,y_coordinate,latitude,longitude,rpc,local_custodian_code,country,la_start_date,last_update_date,entry_date,rm_organisation_name,la_organisation,department_name,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,alt_language_sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,alt_language_pao_text,usrn,usrn_match_indicator,area_name,level,official_flag,os_address_toid,os_address_toid_version,os_roadlink_toid,os_roadlink_toid_version,os_topo_toid,os_topo_toid_version,voa_ct_record,voa_ndr_record,street_description,alt_language_street_description,dependent_thoroughfare,thoroughfare,welsh_dependent_thoroughfare,welsh_thoroughfare,double_dependent_locality,dependent_locality,locality,welsh_dependent_locality,welsh_double_dependent_locality,town_name,administrative_area,post_town,welsh_post_town,postcode,postcode_locator,postcode_type,delivery_point_suffix,addressbase_postal,po_box_number,ward_code,parish_code,rm_start_date,multi_occ_count,voa_ndr_p_desc_code,voa_ndr_scat_code,alt_language
10024854099,,,,,CU01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,"ELECTRICITY SUB STATION 5M FROM VICTORIA STREET MEDICAL GROUP, 7 VICTORIA STREET. ON THIST",,,,,,,,,,,,,,,THISTLE PLACE,,,,,,,,,,,ABERDEEN,,,,,AB10 1YD,,,,,,,,,,,
10024854101,,,,,CU01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,ELECTRICITY SUB STATION 15M FROM 62 CAIRN WYND. 6M FROM UNNAMED ROAD,,,,,,,,,,,,,,,A96T INVERURIE BYPASS - BLACKHALL ROUNDABOUT TO C120C AT DRIMMIES,,,,,,,,,,,INVERURIE,,,,,AB51 5HQ,,,,,,,,,,,
10024854103,,,,,LW02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,POND 302M FROM NORDALE HOUSE 37M FROM UNNAMED ROAD,,,,,,,,,,,,,,,MP39 CRAIGSTON BURN TO U4S AT SLACKADALE,,,,,,,,,,,TURRIFF,,,,,AB53 5RL,,,,,,,,,,,
10024854105,,,,,LW02IW,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,POND 29M FROM AUCHENTEN HOUSE 5M FROM UNNAMED ROAD,,,,,,,,,,,,,,,MP154 A90T AT STRATHEND CROFT SOUTH VIA HILL OF ARDIFFERY TO HILLHEAD OF AUCHENTEN,,,,,,,,,,,HATTON,,,,,AB42 0TA,,,,,,,,,,,
10024854107,,,,,CU01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,"ELECTRICITY SUB STATION AT ABOYNE FISH & CHIPS, UNIT 7-8 STATION SQUARE.",,,,,,,,,,,,,,,ROAD STATION SQUARE SOUTHWARDS TOWARDS HUNTLY MEWS,,,,,,,,,,,ABOYNE,,,,,AB34 5HX,,,,,,,,,,,
10024854109,,,,,CU01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,ELECTRICITY SUB STATION 310M FROM BACKHILL OF BALQUHINDACHY 16M FROM UNNAMED ROAD,,,,,,,,,,,,,,,U119B B9170 AT CAIRNORRIE SCHOOL TO BALQUHINDACHY ROAD JUNCTION,,,,,,,,,,,METHLICK,,,,,AB41 7DB,,,,,,,,,,,
10024854111,,,,,LW02IW,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,POND 33M FROM DOWNIES 47M FROM UNNAMED ROAD,,,,,,,,,,,,,,,B9024 U23S AT MILNBANK TO B9001 AT GLEN DRONACH,,,,,,,,,,,TURRIFF,,,,,AB54 6DJ,,,,,,,,,,,
10024854113,,,,,CU11,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,PUBLIC TELEPHONES 5M FROM UNIT 1 DRUMMERS CORNER. 5M FROM UNNAMED ROAD,,,,,,,,,,,,,,,THISTLE STREET,,,,,,,,,,,PETERHEAD,,,,,AB42 1ZP,,,,,,,,,,,
10024854115,,,,,CU01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,ELECTRICITY SUB STATION 135M FROM HYDRASUN MOSS ROAD. 7M FROM UNNAMED ROAD,,,,,,,,,,,,,,,MOSS ROAD,,,,,,,,,,,ABERDEEN,,,,,AB12 3GW,,,,,,,,,,,
10024854117,,,,,LW02IW,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,PONDS 159M FROM LOWER WANFORD 9M FROM UNNAMED ROAD,,,,,,,,,,,,,,,U89BL C38L AT MONCOFFER CROFTS TO MAINS OF MONTCOFFER,,,,,,,,,,,BANFF,,,,,AB45 3LJ,,,,,,,,,,,
