firm,Generic_Contact_Email_address,Generic_Contact_Phone_number,Generic_Contact_Website_URL,Generic_Contact_Postal_address,Is_an_SME,DUNS_Number,Lot_1_Prospectus_Link,Lot_2_Prospectus_Link,Lot_3_Prospectus_Link,Lot_4_Prospectus_Link,About_the_supplier
Acuity Legal Limited,bids@acuitylegal.co.uk,29204822880,www.acuitylegal.co.uk,"3 Assembly SquareBritannia QuayCardiffCF10 4PL",Yes,217154503,N/A,,,,
Addleshaw Goddard LLP,bdtenders@addleshawgoddard.com,1619346500,www.addleshawgoddard.com,"Milton Gate, 60 Chiswell Street, London EC1Y 4AG",No,733999028,N/A,https://www.addleshawgoddard.com/globalassets/sectors/transport/addleshaw-goddard-rm3788-wider-public-sector-prospectus-lot-2-full-service.pdf,,https://www.addleshawgoddard.com/globalassets/sectors/transport/addleshaw-goddard-rm3788-wider-public-sector-prospectus-lot-4-transport-rail.pdf,
Anthony Collins Solicitors LLP,tenders@anthonycollins.com,1212143548,www.anthonycollins.com,"134 Edmund Street Birmingham B3 2ES",Yes,346598811,N/A,,,,
Arthur Cox,tenders.belfast@arthurcox.com,2890230007,www.arthurcox.com,"Victoria House, Gloucester Street, Belfast, BT1 4LS",Yes,548621101,N/A,http://www.arthurcox.com/ac-rm3788#/,,,
Ashfords LLP,tenders@ashfords.co.uk,1392333966,www.ashfords.co.uk,"Ashford House, Grenadier Road, Exeter, Devon EX1 3LH",Yes,211487179,N/A,https://www.ashfords.co.uk/media/3555/ashfords-ccs-brochure.pdf,https://www.ashfords.co.uk/media/3568/bringing-everything-together-ccs.pdf,,
Ashurst LLP,gpsteam@ashurst.com,2078592099,www.ashurst.com,"Broadwalk House5 Appold StreetLondon EC2A 2HAUnited Kingdom",No,210089859,N/A,,,,
Bates Wells & Braithwaite London LLP,tenders@bwbllp.com,2075517777,www.bwbllp.com,"10 Queen Street PlaceLondonEC4R 1BE",No,218800113,N/A,https://www.bwbllp.com/file/ccs-customer-prospectus-pdf.,,,
Berrymans Lace Mawer LLP,BLMBidsTeam@blmlaw.com,2078658539,www.blmlaw.com,"King's House42 King Street WestManchester M3 2NU",No,211412790,N/A,,,,
Bevan Brittan LLP,tenders@bevanbrittan.com,3701943093,www.bevanbrittan.com,"Kings Orchard, 1 Queen Street, Bristol, BS2 0HQ",No,739754104,N/A,https://www.bevanbrittan.com/who-we-are/legal-frameworks/crown-commercial-services-rm3788/,https://www.bevanbrittan.com/who-we-are/legal-frameworks/crown-commercial-services-rm3788/,,
Bircham Dyson Bell LLP,enquiries@bdb-law.co.uk,2077833414,https://www.bdb-law.co.uk/,"50 Broadway, London, SW1H 0BL",No,515870660,N/A,,,,
Bird & Bird LLP,websiteteam@twobirds.com,2074156000,www.twobirds.com,"12 New Fetter Lane, London, EC4A 1JP",No,211379393,N/A,https://www.twobirds.com/~/media/pdfs/crown-commerical-services-prospectus.pdf,,,
Birketts LLP,mail@birketts.co.uk,1473406218,www.birketts.co.uk,"Providence House, 141-145 Princes Street, Ipswich, Suffolk IP1 1QJ",No,348944328,N/A,,,,
Blake Morgan LLP,Crowncommercial.service@blakemorgan.co.uk,1189553016,www.blakemorgan.co.uk,"Harbour Court, Compass Road, North Harbour, Portsmouth, PO6 4ST",No,219973897,N/A,,,,
BPE Solicitors LLP,bpe@bpe.co.uk,1242248228,www.bpe.co.uk,"St James House, St James Square, Cheltenham, GL50 3PR",Yes,216224359,N/A,,,,
Brodies LLP,tenders@brodies.com,1316560064,http://www.brodies.com/,"15 Atholl Crescent, Edinburgh, United Kingdom EH3 8HA",No,737967088,N/A,https://brodies.com/protected-page?destination=node/15378&protected_page=1,,,
Browne Jacobson LLP,tenders@brownejacobson.com,1159766124,www.brownejacobson.com,"Mowbray House, Castle Meadow Road, Nottingham, NG2 1BJ",No,737471594,N/A,,,,
Burges Salmon LLP,publicsectortenders@burges-salmon.com,1179027229,www.burges-salmon.com,"One Glass Wharf, Bristol, BS2 0ZX",No,738152433,N/A,https://bsalmon.us/ccs-prospectus-RM3788-Lot2,,https://bsalmon.us/ccs-prospectus-RM3788-Lot4,
Capital Law Limited,ccsenquiries@capitallaw.co.uk,2920474460,www.capitallaw.co.uk,"Capital Building, Tyndall Street, Cardiff. CF10 4AZ",Yes,779387187,N/A,,,,
Capsticks Solicitors LLP,Tenders@capsticks.com,2087804801,www.capsticks.com,"1 St George_s Road, London SW19 4DR",No,211381866,N/A,,,,
