number,description
1,Child law
1,Court of protection
1,Debt recovery
1,Education
1,Employment
1,Healthcare
1,Intelletual property
1,Licensing
1,Litigation/dispute resolution
1,Pensions
1,Planning and Environment
1,Primary care
1,Property and construction
1,Social  housing
2,Administrative and public law
2,Banking and Finance
2,Charities law
2,Child law
2,Contracts
2,Competition law
2,Corporate and M&A
2,Data Protection and information law
2,Education law
2,Employment
2,Energy and natural resources
2,EU
2,"Food, rural and environmental affairs"
2,Franchise law
2,Health and healthcare
2,Information Technology
2,Infrastructure
2,Intelletual property
2,Licensing
2,Life sciences
2,Litigation/dispute resolution
2,Outsourcing/insourcing
2,Partnerships
2,Pensions
2,Planning
2,Projects
2,Public international law
2,Public procurement
2,"Property, real estate and construction"
2,Restructuring and insolvency
2,Tax
2,Telecommunications
2,The law of international trade investment and regulation
2,Transport law (excluding rail)
3,Ashfords LLP
3,Bevan Brittan
3,CMS Cameron McKenna
3,DAC Beachcroft LLP
3,Dentons UK and middle east LLP
3,K&L Gates LLP
3,Mill & Reeve LLP
3,Pinssent Massons LLP
4,Addleshaw Goddard LLP
4,Burges Salmon LLP
4,DLA Piper UK LLP
4,DWF LLP
4,K&L Gates LLP
4,Weightmans LLP
4,Womble Bond Dickinson LLP
