supplier,Email address,Phone number,Website URL,Postal address,Is an SME,DUNS Number,Lot 1 Prospectus Link,Lot 2 Prospectus Link,Lot 3 Prospectus Link,Lot 4 Prospectus Link
Acuity Legal Limited,tomoko@heel.biz,0112 136 7838,www.acuitylegal.co.uk,"3 Assembly Square
 Britannia Quay
 Cardiff
 CF10 4PL",Yes,217154503,N/A,,,
Addleshaw Goddard LLP,yasminkunze@wiza.org,0161 657 9986,www.addleshawgoddard.com,"Milton Gate, 60 Chiswell Street, London EC1Y 4AG",No,733999028,N/A,https://www.addleshawgoddard.com/globalassets/sectors/transport/addleshaw-goddard-rm3788-wider-public-sector-prospectus-lot-2-full-service.pdf,,https://www.addleshawgoddard.com/globalassets/sectors/transport/addleshaw-goddard-rm3788-wider-public-sector-prospectus-lot-4-transport-rail.pdf
Anthony Collins Solicitors LLP,mariettaroberts@lemke.io,0500 377326,www.anthonycollins.com,"134 Edmund Street 
 Birmingham 
 B3 2ES",Yes,346598811,N/A,,,
Arthur Cox,aldaboyer@cain.io,0111 394 2474,www.arthurcox.com,"Victoria House, Gloucester Street, Belfast, BT1 4LS",Yes,548621101,N/A,http://www.arthurcox.com/ac-rm3788#/,,
Ashfords LLP,lester@moore.co,0191 388 4991,www.ashfords.co.uk,"Ashford House, Grenadier Road, Exeter, Devon EX1 3LH",Yes,211487179,N/A,https://www.ashfords.co.uk/media/3555/ashfords-ccs-brochure.pdf,https://www.ashfords.co.uk/media/3568/bringing-everything-together-ccs.pdf,
Ashurst LLP,cherellelehner@turcotte.com,01870 286212,www.ashurst.com,"Broadwalk House
 5 Appold Street
 London EC2A 2HA
 United Kingdom",No,210089859,N/A,,,
Bates Wells & Braithwaite London LLP,ginogottlieb@greenholt.info,01236 00014,www.bwbllp.com,"10 Queen Street Place
 London
 EC4R 1BE",No,218800113,N/A,https://www.bwbllp.com/file/ccs-customer-prospectus-pdf.,,
Berrymans Lace Mawer LLP,keena@rowe.net,0800 432 8209,www.blmlaw.com,"King's House
 42 King Street West
 Manchester 
 M3 2NU",No,211412790,N/A,,,
Bevan Brittan LLP,juliana@green.io,025 5497 9433,www.bevanbrittan.com,"Kings Orchard, 1 Queen Street, Bristol, BS2 0HQ",No,739754104,N/A,https://www.bevanbrittan.com/who-we-are/legal-frameworks/crown-commercial-services-rm3788/,https://www.bevanbrittan.com/who-we-are/legal-frameworks/crown-commercial-services-rm3788/,
Bircham Dyson Bell LLP,scottiewelch@herzog.co,0952 742 3715,https://www.bdb-law.co.uk/,"50 Broadway, London, SW1H 0BL",No,515870660,N/A,,,
Bird & Bird LLP,cristobal@walter.co,0800 560149,www.twobirds.com,"12 New Fetter Lane, London, EC4A 1JP",No,211379393,N/A,https://www.twobirds.com/~/media/pdfs/crown-commerical-services-prospectus.pdf,,
Birketts LLP,retarodriguez@williamson.biz,0112 223 1848,www.birketts.co.uk,"Providence House, 141-145 Princes Street, Ipswich, Suffolk IP1 1QJ",No,348944328,N/A,,,
Blake Morgan LLP,susiehuel@senger.biz,01651 35538,www.blakemorgan.co.uk,"Harbour Court, Compass Road, North Harbour, Portsmouth, PO6 4ST",No,219973897,N/A,,,
BPE Solicitors LLP,keenan@bins.co,0382 347 8669,www.bpe.co.uk,"St James House, St James Square, Cheltenham, GL50 3PR",Yes,216224359,N/A,,,
Brodies LLP,adolphbeatty@swift.com,01424 726098,http://www.brodies.com/,"15 Atholl Crescent, Edinburgh, United Kingdom EH3 8HA",No,737967088,N/A,https://brodies.com/protected-page?destination=node/15378&protected_page=1,,
Browne Jacobson LLP,ruelpollich@lehner.io,0500 383129,www.brownejacobson.com,"Mowbray House, Castle Meadow Road, Nottingham, NG2 1BJ",No,737471594,N/A,,,
