code,nuts2_code,name
UKC11,UKC1,Hartlepool and Stockton-on-Tees
UKC12,UKC1,South Teesside
UKC13,UKC1,Darlington
UKC14,UKC1,Durham CC
UKC21,UKC2,Northumberland
UKC22,UKC2,Tyneside
UKC23,UKC2,Sunderland
UKD11,UKD1,West Cumbria
UKD12,UKD1,East Cumbria
UKD33,UKD3,Manchester
UKD34,UKD3,Greater Manchester South West
UKD35,UKD3,Greater Manchester South East
UKD36,UKD3,Greater Manchester North West
UKD37,UKD3,Greater Manchester North East
UKD41,UKD4,Blackburn with Darwen
UKD42,UKD4,Blackpool
UKD44,UKD4,Lancaster and Wyre
UKD45,UKD4,Mid Lancashire
UKD46,UKD4,East Lancashire
UKD47,UKD4,Chorley and West Lancashire
UKD61,UKD6,Warrington
UKD62,UKD6,Cheshire East
UKD63,UKD6,Cheshire West and Chester
UKD71,UKD7,East Merseyside
UKD72,UKD7,Liverpool
UKD73,UKD7,Sefton
UKD74,UKD7,Wirral
UKE11,UKE1,"Kingston upon Hull, City of"
UKE12,UKE1,East Riding of Yorkshire
UKE13,UKE1,North and North East Lincolnshire
UKE21,UKE2,York
UKE22,UKE2,North Yorkshire CC
UKE31,UKE3,"Barnsley, Doncaster and Rotherham"
UKE32,UKE3,Sheffield
UKE41,UKE4,Bradford
UKE42,UKE4,Leeds
UKE44,UKE4,Calderdale and Kirklees
UKE45,UKE4,Wakefield
UKF11,UKF1,Derby
UKF12,UKF1,East Derbyshire
UKF13,UKF1,South and West Derbyshire
UKF14,UKF1,Nottingham
UKF15,UKF1,North Nottinghamshire
UKF16,UKF1,South Nottinghamshire
UKF21,UKF2,Leicester
UKF22,UKF2,Leicestershire CC and Rutland
UKF24,UKF2,West Northamptonshire
UKF25,UKF2,North Northamptonshire
UKF30,UKF3,Lincolnshire
UKG11,UKG1,"Herefordshire, County of"
UKG12,UKG1,Worcestershire
UKG13,UKG1,Warwickshire
UKG21,UKG2,Telford and Wrekin
UKG22,UKG2,Shropshire CC
UKG23,UKG2,Stoke-on-Trent
UKG24,UKG2,Staffordshire CC
UKG31,UKG3,Birmingham
UKG32,UKG3,Solihull
UKG33,UKG3,Coventry
UKG36,UKG3,Dudley
UKG37,UKG3,Sandwell
UKG38,UKG3,Walsall
UKG39,UKG3,Wolverhampton
UKH11,UKH1,Peterborough
UKH12,UKH1,Cambridgeshire CC
UKH14,UKH1,Suffolk
UKH15,UKH1,Norwich and East Norfolk
UKH16,UKH1,North and West Norfolk
UKH17,UKH1,Breckland and South Norfolk
UKH21,UKH2,Luton
UKH23,UKH2,Hertfordshire
UKH24,UKH2,Bedford
UKH25,UKH2,Central Bedfordshire
UKH31,UKH3,Southend-on-Sea
UKH32,UKH3,Thurrock
UKH34,UKH3,Essex Haven Gateway
UKH35,UKH3,West Essex
UKH36,UKH3,Heart of Essex
UKH37,UKH3,Essex Thames Gateway
UKI31,UKI3,Camden and City of London
UKI32,UKI3,Westminster
UKI33,UKI3,Kensington & Chelsea and Hammersmith & Fulham
UKI34,UKI3,Wandsworth
UKI41,UKI4,Hackney and Newham
UKI42,UKI4,Tower Hamlets
UKI43,UKI4,Haringey and Islington
UKI44,UKI4,Lewisham and Southwark
UKI45,UKI4,Lambeth
UKI51,UKI5,Bexley and Greenwich
UKI52,UKI5,Barking & Dagenham and Havering
UKI53,UKI5,Redbridge and Waltham Forest
UKI54,UKI5,Enfield
UKI61,UKI6,Bromley
