id,lot_id,number,name,rate_type,mandatory,category
RM6238.1.1,RM6238.1,1,teacher,money,TRUE,daily
RM6238.1.2,RM6238.1,2,teacher,money,TRUE,six_weeks_plus
RM6238.1.3,RM6238.1,3,support,money,TRUE,daily
RM6238.1.4,RM6238.1,4,support,money,TRUE,six_weeks_plus
RM6238.1.5,RM6238.1,5,senior,money,TRUE,daily
RM6238.1.6,RM6238.1,6,senior,money,TRUE,six_weeks_plus
RM6238.1.7,RM6238.1,7,other,money,TRUE,daily
RM6238.1.8,RM6238.1,8,other,money,TRUE,six_weeks_plus
RM6238.1.9,RM6238.1,9,over_12_week,percentage,TRUE,
RM6238.1.10,RM6238.1,10,nominated,money,TRUE,
RM6238.1.11,RM6238.1,11,fixed_term,percentage,TRUE,
RM6238.2.1.1,RM6238.2.1,1,teacher,money,TRUE,daily
RM6238.2.1.2,RM6238.2.1,2,teacher,money,TRUE,six_weeks_plus
RM6238.2.1.3,RM6238.2.1,3,support,money,TRUE,daily
RM6238.2.1.4,RM6238.2.1,4,support,money,TRUE,six_weeks_plus
RM6238.2.1.5,RM6238.2.1,5,senior,money,TRUE,daily
RM6238.2.1.6,RM6238.2.1,6,senior,money,TRUE,six_weeks_plus
RM6238.2.1.7,RM6238.2.1,7,other,money,TRUE,daily
RM6238.2.1.8,RM6238.2.1,8,other,money,TRUE,six_weeks_plus
RM6238.2.1.9,RM6238.2.1,9,over_12_week,percentage,TRUE,
RM6238.2.1.10,RM6238.2.1,10,nominated,money,TRUE,
RM6238.2.1.11,RM6238.2.1,11,fixed_term,percentage,TRUE,
RM6238.2.2.1,RM6238.2.2,1,teacher,money,TRUE,daily
RM6238.2.2.2,RM6238.2.2,2,teacher,money,TRUE,six_weeks_plus
RM6238.2.2.3,RM6238.2.2,3,support,money,TRUE,daily
RM6238.2.2.4,RM6238.2.2,4,support,money,TRUE,six_weeks_plus
RM6238.2.2.5,RM6238.2.2,5,senior,money,TRUE,daily
RM6238.2.2.6,RM6238.2.2,6,senior,money,TRUE,six_weeks_plus
RM6238.2.2.7,RM6238.2.2,7,other,money,TRUE,daily
RM6238.2.2.8,RM6238.2.2,8,other,money,TRUE,six_weeks_plus
RM6238.2.2.9,RM6238.2.2,9,over_12_week,percentage,TRUE,
RM6238.2.2.10,RM6238.2.2,10,nominated,money,TRUE,
RM6238.2.2.11,RM6238.2.2,11,fixed_term,percentage,TRUE,
RM6238.4.1,RM6238.4,1,agency_management,money,TRUE,daily
RM6238.4.2,RM6238.4,2,agency_management,money,TRUE,six_weeks_plus
RM6238.4.3,RM6238.4,3,nominated,money,TRUE,
RM6238.4.4,RM6238.4,4,fixed_term,percentage,TRUE,
RM6187.1.1,RM6187.1,1,junior,money,TRUE,
RM6187.1.2,RM6187.1,2,standard,money,TRUE,
RM6187.1.3,RM6187.1,3,senior,money,TRUE,
RM6187.1.4,RM6187.1,4,principal,money,TRUE,
RM6187.1.5,RM6187.1,5,managing,money,TRUE,
RM6187.1.6,RM6187.1,6,director,money,TRUE,
RM6187.2.1,RM6187.2,1,junior,money,TRUE,
RM6187.2.2,RM6187.2,2,standard,money,TRUE,
RM6187.2.3,RM6187.2,3,senior,money,TRUE,
RM6187.2.4,RM6187.2,4,principal,money,TRUE,
RM6187.2.5,RM6187.2,5,managing,money,TRUE,
RM6187.2.6,RM6187.2,6,director,money,TRUE,
RM6187.3.1,RM6187.3,1,junior,money,TRUE,
RM6187.3.2,RM6187.3,2,standard,money,TRUE,
RM6187.3.3,RM6187.3,3,senior,money,TRUE,
RM6187.3.4,RM6187.3,4,principal,money,TRUE,
RM6187.3.5,RM6187.3,5,managing,money,TRUE,
RM6187.3.6,RM6187.3,6,director,money,TRUE,
RM6187.4.1,RM6187.4,1,junior,money,TRUE,
RM6187.4.2,RM6187.4,2,standard,money,TRUE,
RM6187.4.3,RM6187.4,3,senior,money,TRUE,
RM6187.4.4,RM6187.4,4,principal,money,TRUE,
RM6187.4.5,RM6187.4,5,managing,money,TRUE,
RM6187.4.6,RM6187.4,6,director,money,TRUE,
RM6187.5.1,RM6187.5,1,junior,money,TRUE,
RM6187.5.2,RM6187.5,2,standard,money,TRUE,
RM6187.5.3,RM6187.5,3,senior,money,TRUE,
RM6187.5.4,RM6187.5,4,principal,money,TRUE,
RM6187.5.5,RM6187.5,5,managing,money,TRUE,
RM6187.5.6,RM6187.5,6,director,money,TRUE,
RM6187.6.1,RM6187.6,1,junior,money,TRUE,
RM6187.6.2,RM6187.6,2,standard,money,TRUE,
RM6187.6.3,RM6187.6,3,senior,money,TRUE,
RM6187.6.4,RM6187.6,4,principal,money,TRUE,
RM6187.6.5,RM6187.6,5,managing,money,TRUE,
RM6187.6.6,RM6187.6,6,director,money,TRUE,
RM6187.7.1,RM6187.7,1,junior,money,TRUE,
RM6187.7.2,RM6187.7,2,standard,money,TRUE,
RM6187.7.3,RM6187.7,3,senior,money,TRUE,
RM6187.7.4,RM6187.7,4,principal,money,TRUE,
RM6187.7.5,RM6187.7,5,managing,money,TRUE,
RM6187.7.6,RM6187.7,6,director,money,TRUE,
RM6187.8.1,RM6187.8,1,junior,money,TRUE,
RM6187.8.2,RM6187.8,2,standard,money,TRUE,
RM6187.8.3,RM6187.8,3,senior,money,TRUE,
RM6187.8.4,RM6187.8,4,principal,money,TRUE,
RM6187.8.5,RM6187.8,5,managing,money,TRUE,
RM6187.8.6,RM6187.8,6,director,money,TRUE,
RM6187.9.1,RM6187.9,1,junior,money,TRUE,
RM6187.9.2,RM6187.9,2,standard,money,TRUE,
RM6187.9.3,RM6187.9,3,senior,money,TRUE,
RM6187.9.4,RM6187.9,4,principal,money,TRUE,
RM6187.9.5,RM6187.9,5,managing,money,TRUE,
RM6187.9.6,RM6187.9,6,director,money,TRUE,
RM6240.1a.1,RM6240.1a,1,partner,money,TRUE,
RM6240.1a.2,RM6240.1a,2,senior,money,TRUE,
RM6240.1a.3,RM6240.1a,3,solicitor,money,TRUE,
RM6240.1a.4,RM6240.1a,4,junior,money,TRUE,
RM6240.1a.5,RM6240.1a,5,trainee,money,TRUE,
RM6240.1a.6,RM6240.1a,6,paralegal,money,TRUE,
RM6240.1a.7,RM6240.1a,7,legal_project_manager,money,FALSE,
RM6240.1b.1,RM6240.1b,1,partner,money,TRUE,
RM6240.1b.2,RM6240.1b,2,senior,money,TRUE,
RM6240.1b.3,RM6240.1b,3,solicitor,money,TRUE,
RM6240.1b.4,RM6240.1b,4,junior,money,TRUE,
RM6240.1b.5,RM6240.1b,5,trainee,money,TRUE,
RM6240.1b.6,RM6240.1b,6,paralegal,money,TRUE,
RM6240.1b.7,RM6240.1b,7,legal_project_manager,money,FALSE,
RM6240.1c.1,RM6240.1c,1,partner,money,TRUE,
RM6240.1c.2,RM6240.1c,2,senior,money,TRUE,
RM6240.1c.3,RM6240.1c,3,solicitor,money,TRUE,
RM6240.1c.4,RM6240.1c,4,junior,money,TRUE,
RM6240.1c.5,RM6240.1c,5,trainee,money,TRUE,
RM6240.1c.6,RM6240.1c,6,paralegal,money,TRUE,
RM6240.1c.7,RM6240.1c,7,legal_project_manager,money,FALSE,
RM6240.2a.1,RM6240.2a,1,partner,money,TRUE,
RM6240.2a.2,RM6240.2a,2,senior,money,TRUE,
RM6240.2a.3,RM6240.2a,3,solicitor,money,TRUE,
RM6240.2a.4,RM6240.2a,4,junior,money,TRUE,
RM6240.2a.5,RM6240.2a,5,trainee,money,TRUE,
RM6240.2a.6,RM6240.2a,6,paralegal,money,TRUE,
RM6240.2a.7,RM6240.2a,7,legal_project_manager,money,FALSE,
RM6240.2b.1,RM6240.2b,1,partner,money,TRUE,
RM6240.2b.2,RM6240.2b,2,senior,money,TRUE,
RM6240.2b.3,RM6240.2b,3,solicitor,money,TRUE,
RM6240.2b.4,RM6240.2b,4,junior,money,TRUE,
RM6240.2b.5,RM6240.2b,5,trainee,money,TRUE,
RM6240.2b.6,RM6240.2b,6,paralegal,money,TRUE,
RM6240.2b.7,RM6240.2b,7,legal_project_manager,money,FALSE,
RM6240.2c.1,RM6240.2c,1,partner,money,TRUE,
RM6240.2c.2,RM6240.2c,2,senior,money,TRUE,
RM6240.2c.3,RM6240.2c,3,solicitor,money,TRUE,
RM6240.2c.4,RM6240.2c,4,junior,money,TRUE,
RM6240.2c.5,RM6240.2c,5,trainee,money,TRUE,
RM6240.2c.6,RM6240.2c,6,paralegal,money,TRUE,
RM6240.2c.7,RM6240.2c,7,legal_project_manager,money,FALSE,
RM6240.3.1,RM6240.3,1,partner,money,TRUE,
RM6240.3.2,RM6240.3,2,senior,money,TRUE,
RM6240.3.3,RM6240.3,3,solicitor,money,TRUE,
RM6240.3.4,RM6240.3,4,junior,money,TRUE,
RM6240.3.5,RM6240.3,5,trainee,money,TRUE,
RM6240.3.6,RM6240.3,6,paralegal,money,TRUE,
RM6240.3.7,RM6240.3,7,legal_project_manager,money,FALSE,
RM6309.1.1,RM6309.1,1,junior,money,TRUE,advice
RM6309.1.2,RM6309.1,2,junior,money,TRUE,delivery
RM6309.1.3,RM6309.1,3,standard,money,TRUE,advice
RM6309.1.4,RM6309.1,4,standard,money,TRUE,delivery
RM6309.1.5,RM6309.1,5,senior,money,TRUE,advice
RM6309.1.6,RM6309.1,6,senior,money,TRUE,delivery
RM6309.1.7,RM6309.1,7,principal,money,TRUE,advice
RM6309.1.8,RM6309.1,8,principal,money,TRUE,delivery
RM6309.1.9,RM6309.1,9,managing,money,TRUE,advice
RM6309.1.10,RM6309.1,10,managing,money,TRUE,delivery
RM6309.1.11,RM6309.1,11,director,money,TRUE,advice
